シリーズ,シリーズ略称,チーム名,モード,難易度1,難易度1レベル,難易度2,難易度2レベル,難易度3,難易度3レベル,難易度4,難易度4レベル
イナズマイレブン,IE1,帝国学園,クロニクル,,,ルート解放バトル,4,レアドロップバトル,21,ヒーローバトル,51
イナズマイレブン,IE1,稲妻KFC,クロニクル,,,ルート解放バトル,4,レアドロップバトル,21,ヒーローバトル,51
イナズマイレブン,IE1,尾刈斗中,クロニクル,,,ルート解放バトル,6,レアドロップバトル,23,ヒーローバトル,52
イナズマイレブン,IE1,野生中,クロニクル,,,ルート解放バトル,7,レアドロップバトル,24,ヒーローバトル,52
イナズマイレブン,IE1,御影専農中,クロニクル,,,ルート解放バトル,8,レアドロップバトル,24,ヒーローバトル,53
イナズマイレブン,IE1,秋葉名戸学園,クロニクル,,,ルート解放バトル,9,レアドロップバトル,25,ヒーローバトル,53
イナズマイレブン,IE1,帝国学園,クロニクル,,,ルート解放バトル,12,レアドロップバトル,28,ヒーローバトル,55
イナズマイレブン,IE1,雷門OB,クロニクル,,,ルート解放バトル,13,レアドロップバトル,29,ヒーローバトル,55
イナズマイレブン,IE1,戦国伊賀島中,クロニクル,,,ルート解放バトル,15,レアドロップバトル,30,ヒーローバトル,56
イナズマイレブン,IE1,千羽山中,クロニクル,,,ルート解放バトル,17,レアドロップバトル,32,ヒーローバトル,57
イナズマイレブン,IE1,木戸川清修中,クロニクル,,,ルート解放バトル,19,レアドロップバトル,34,ヒーローバトル,58
イナズマイレブン,IE1,世宇子中,クロニクル,,,ルート解放バトル,32,レアドロップバトル,36,ヒーローバトル,60
イナズマイレブン,IE1,王牙学園,クロニクル,,,ルート解放バトル,25,レアドロップバトル,39,ヒーローバトル,61
イナズマイレブン2,IE2,ジェミニストーム1,クロニクル,,,ルート解放バトル,27,レアドロップバトル,40,ヒーローバトル,85
イナズマイレブン2,IE2,SPフィクサーズ,クロニクル,,,ルート解放バトル,28,レアドロップバトル,41,ヒーローバトル,85
イナズマイレブン2,IE2,ジェミニストーム2,クロニクル,,,ルート解放バトル,28,レアドロップバトル,41,ヒーローバトル,85
イナズマイレブン2,IE2,白恋中,クロニクル,,,ルート解放バトル,28,レアドロップバトル,41,ヒーローバトル,85
イナズマイレブン2,IE2,ジェミニストーム3,クロニクル,,,ルート解放バトル,29,レアドロップバトル,42,ヒーローバトル,85
イナズマイレブン2,IE2,漫遊寺中,クロニクル,,,ルート解放バトル,30,レアドロップバトル,43,ヒーローバトル,86
イナズマイレブン2,IE2,イプシロン1,クロニクル,,,ルート解放バトル,33,レアドロップバトル,45,ヒーローバトル,86
イナズマイレブン2,IE2,真・帝国学園,クロニクル,,,ルート解放バトル,34,レアドロップバトル,47,ヒーローバトル,88
イナズマイレブン2,IE2,大阪ギャルズ・CCC,クロニクル,,,ルート解放バトル,34,レアドロップバトル,46,ヒーローバトル,87
イナズマイレブン2,IE2,イプシロン2,クロニクル,,,ルート解放バトル,37,レアドロップバトル,47,ヒーローバトル,87
イナズマイレブン2,IE2,陽花戸中,クロニクル,,,ルート解放バトル,35,レアドロップバトル,47,ヒーローバトル,88
イナズマイレブン2,IE2,ザ・ジェネシス1,クロニクル,,,ルート解放バトル,38,レアドロップバトル,50,ヒーローバトル,88
イナズマイレブン2,IE2,大海原中,クロニクル,,,ルート解放バトル,38,レアドロップバトル,50,ヒーローバトル,
イナズマイレブン2,IE2,イプシロン改,クロニクル,,,ルート解放バトル,41,レアドロップバトル,52,ヒーローバトル,
